title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
Furious 7,147187040,548000000,2015-04-03,22686,203915
Flight,24900566,68000000,2012-11-02,6277,23634
Blind Mountain,3676,23451,2008-03-12,15,316
Kick-Ass,19828687,48117600,2010-04-16,13868,69537
The Other Man,51909,994328,2009-09-11,4694,18325
22 Jump Street,57071445,139614539,2014-06-13,15638,89764
Joyful Noise,11225190,226000,2012-01-13,1324,3692
Grown Ups 2,41508572,113315753,2013-07-12,4675,24953
Lost in Beijing,4337,1339804,2008-01-25,0,0
Mama,28402310,74800000,2013-01-18,1909,9826
Twilight,69637740,199846771,2008-11-21,2561,7045
Big Hero 6,56215889,429600000,2014-11-07,17027,188778
Fighting,11024370,9383110,2009-04-24,8779,85341
Drive,11340461,41114477,2011-09-16,8414,22218
Flame & Citron,15254,10037995,2009-07-31,20,97
Anamorph,3120,667889,2008-04-18,0,0
Defamation,4725,5271,2009-11-20,141,599
2 Guns,27059130,56327951,2013-08-02,5870,29461
Nick and Norah's Infinite Playlist,11311751,2018844,2008-10-03,108,848
RockNRolla,144701,20038389,2008-10-08,1208,7239
Heaven is for Real,22522221,9889709,2014-04-16,106,720
Drag Me to Hell,15825480,48742021,2009-05-29,716,4773
Times and Winds,1338,381220,2008-01-11,2120,9626
MIB 3,54592779,445005922,2012-05-25,1097,3587
Ek Vivah Aisa Bhi,6437,1450449,2008-11-07,0,0
The Spiderwick Chronicles,19004058,91644614,2008-02-14,1,1
Redbelt,63361,328149,2008-05-02,155,421
"Definitely, Maybe",9764270,23206319,2008-02-14,654,3935
Beasts of the Southern Wild,169702,8312000,2012-06-27,2101,53770
Speed Racer,18561337,50000000,2008-05-09,1047,6271
Tyler Perry's The Family That Preys,17381218,,2008-09-12,1,12
Boyhood,387618,19143000,2014-07-11,9374,157765
Summer Hours,49484,6002257,2009-05-15,172,580
Tammy,21577049,15850000,2014-07-02,753,8235
No Strings Attached,19652921,78565857,2011-01-21,76,424
Burma VJ,5554,71805,2009-05-20,5,2
Obsessed,28612730,5568696,2009-04-24,2485,9039
My Fuhrer,1197,7693278,2009-08-14,6,38
Tashan,301226,10825957,2008-04-25,0,0
Knight & Day,20139985,185507401,2010-06-23,7422,22510
Bustin' Down the Door,17317,78400,2008-07-25,0,0
Righteous Kill,16288361,38379289,2008-09-12,258,1774
Baggage Claim,9031102,887000,2013-09-27,151,487
Carriers,76857,5698070,2009-09-04,241,2851
Ghajini,766859,35885937,2008-12-24,36,149
Wanted,50927085,206924701,2008-06-27,24403,122192
The Lazarus Effect,10203437,1369337,2015-02-27,157,1384
Ghost Town,5012315,13706868,2008-09-19,1081,57175
Easy A,17734040,16550841,2010-09-17,5061,46539
The Wrestler,202714,18465752,2008-12-17,7810,27451
Courageous,9112839,,2011-09-30,1675,9363
Let the Right One In,49295,9105271,2008-10-24,10687,27268
Escape Plan,9885732,112192336,2013-10-18,9325,118987
Surfwise,10304,24242,2008-05-09,2,5
A Haunted House,18101682,20100000,2013-01-11,506,1192
Outlander,59581,6867680,2009-01-23,77,699
The Boy in the Striped Pajamas,253085,31370407,2008-11-07,1141,3454
Sukiyaki Western Django,9856,2674599,2008-08-29,32,114
Star Trek Into Darkness,70165559,238602923,2013-05-16,18329,76484
A Most Violent Year,172788,,2014-12-31,1039,16558
The American,13177790,32269905,2010-09-01,8376,76833
The Ghost Writer,183009,44680749,2010-02-19,614,3660
"Tinker, Tailor, Soldier, Spy",310562,56481215,2011-12-09,2385,11139
Sleepwalking,47762,38603,2008-03-14,126,868
It Might Get Loud,92679,286081,2009-08-14,568,969
Jellyfish,25352,569093,2008-04-04,84,536
The Lincoln Lawyer,13206453,17000000,2011-03-18,670,1943
In Bruges,459575,25593616,2008-02-08,4232,13048
